model,storage_phase,sensitivity_recall,specificity,precision,F1,n_true
ANN,Early (0–7),0.833333,0.933333,0.877193,0.854701,240
ANN,Middle (8–14),0.695238,0.777778,0.593496,0.640351,210
ANN,Late (15–21),0.704762,0.915556,0.795699,0.747475,210
BiLSTM,Early (0–7),0.491667,0.842857,0.641304,0.556604,240
BiLSTM,Middle (8–14),0.695238,0.440000,0.366834,0.480263,210
BiLSTM,Late (15–21),0.214286,0.926667,0.576923,0.312500,210
LSTM,Early (0–7),0.358333,0.933333,0.754386,0.485876,240
LSTM,Middle (8–14),0.890476,0.277778,0.365234,0.518006,210
LSTM,Late (15–21),0.109524,0.975556,0.676471,0.188525,210
PLSR,Early (0–7),0.812500,0.964286,0.928571,0.866667,240
PLSR,Middle (8–14),0.742857,0.782222,0.614173,0.672414,210
PLSR,Late (15–21),0.742857,0.911111,0.795918,0.768473,210
SVR,Early (0–7),0.795833,0.971429,0.940887,0.862302,240
SVR,Middle (8–14),0.776190,0.791111,0.634241,0.698073,210
SVR,Late (15–21),0.785714,0.922222,0.825000,0.804878,210
SimpleRNN,Early (0–7),0.237500,0.926190,0.647727,0.347561,240
SimpleRNN,Middle (8–14),0.909524,0.155556,0.334501,0.489117,210
SimpleRNN,Late (15–21),0.000000,0.997778,0.000000,0.000000,210
