model,condition_A,condition_B,delta_MAE_A_minus_B_days,delta95_CI_low,delta95_CI_high,wilcoxon_statistic,p_raw,rank_biserial_A_minus_B,p_holm_within_model,significant_holm_0.05,CI_excludes_zero
ANN,original,reversed,-0.03325949713294989,-0.08653438248274833,0.02105477209195637,179.0,0.28008678182959557,-0.23010752688172043,0.5601735636591911,False,False
ANN,original,shuffled,0.02778342385730254,-0.03447764983386166,0.09389208451077559,205.0,0.583757072687149,0.11827956989247312,0.583757072687149,False,False
ANN,reversed,shuffled,0.061042920990252436,0.0178790018043471,0.10703256716621962,117.0,0.016431212425231934,0.4967741935483871,0.0492936372756958,True,True
SimpleRNN,original,reversed,-0.06094569406369885,-0.29846540918357256,0.16009991345900598,224.0,0.871207794174552,-0.03655913978494624,0.871207794174552,False,False
SimpleRNN,original,shuffled,0.2685696689464024,0.0989803356479881,0.4445932762077676,103.0,0.006639536470174789,0.556989247311828,0.01991860941052437,True,True
SimpleRNN,reversed,shuffled,0.32951536301010115,0.11734392647045487,0.5678360359449497,111.0,0.011303061619400978,0.5225806451612903,0.022606123238801956,True,True
LSTM,original,reversed,0.033593661337676356,-0.2763054863411955,0.3373728720286791,222.0,0.8393927440047264,0.04516129032258064,0.8393927440047264,False,False
LSTM,original,shuffled,0.33832762909020164,0.06908928170185652,0.5842081860521743,108.0,0.009301122277975082,0.535483870967742,0.027903366833925247,True,True
LSTM,reversed,shuffled,0.3047339677525253,0.06391912048169195,0.5454519551319442,129.0,0.03272089920938015,0.44516129032258067,0.0654417984187603,False,True
BiLSTM,original,reversed,0.029999184546133744,-0.08204502008683022,0.15237700950922817,224.0,0.871207794174552,-0.03655913978494624,0.871207794174552,False,False
BiLSTM,original,shuffled,0.26547962966936606,-0.008458780469011874,0.5543907443847521,162.0,0.15188691951334476,0.3032258064516129,0.30377383902668953,False,False
BiLSTM,reversed,shuffled,0.2354804451232323,-0.008006444075580772,0.4862294932272979,152.0,0.10039735585451126,0.34623655913978496,0.3011920675635338,False,False
