model_A,model_B,delta_MAE_A_minus_B_days,delta95_CI_low,delta95_CI_high,median_delta_A_minus_B_days,wilcoxon_statistic,p_raw,n_nonzero_pairs,rank_biserial_A_minus_B,p_holm,significant_holm_0.05,CI_excludes_zero,top3_pair
SVR,PLSR,-0.07267041606218788,-0.21460055173215267,0.05638548348985369,-0.01694554897719558,197.0,0.4771064817905426,30,-0.15268817204301074,0.6367921605706215,False,False,True
SVR,ANN,-0.16790874761152572,-0.33960149138990925,0.006275507641963229,-0.25197697845382416,141.0,0.06056523136794567,30,-0.3935483870967742,0.24855060502886772,False,False,True
SVR,BiLSTM,-2.4122604085421244,-2.775713549514008,-2.042172129464866,-2.398541856693793,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
SVR,LSTM,-2.5897834601094245,-2.842129069925353,-2.340804047860942,-2.568361120298066,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
SVR,SimpleRNN,-2.7549937310211807,-2.9827181337709785,-2.5151216237168557,-2.7472682429253403,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
PLSR,ANN,-0.09523833154933779,-0.25725815999186585,0.07699370551745692,-0.13298515516321796,169.0,0.19807579927146435,30,-0.2731182795698925,0.594227397814393,False,False,True
PLSR,BiLSTM,-2.3395899924799366,-2.690427735191381,-1.9790183299544433,-2.3180439903618026,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
PLSR,LSTM,-2.5171130440472367,-2.7950215341306417,-2.226907507448852,-2.5559992504977176,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
PLSR,SimpleRNN,-2.682323314958993,-2.9187057248585044,-2.4295977508911957,-2.699671872345533,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
ANN,BiLSTM,-2.2443516609305987,-2.582821850548546,-1.913310160241043,-2.179329562932253,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
ANN,LSTM,-2.421874712497899,-2.6776609556738173,-2.1657501741327496,-2.4746905174670797,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
ANN,SimpleRNN,-2.5870849834096545,-2.8063644741927125,-2.367689549104884,-2.7885691217626585,0.0,1.862645149230957e-09,30,-1.0,2.7939677238464355e-08,True,True,False
BiLSTM,LSTM,-0.17752305156730022,-0.5344347255619601,0.16987323725812445,-0.1471730003302747,183.0,0.31839608028531075,30,-0.2129032258064516,0.6367921605706215,False,False,False
BiLSTM,SimpleRNN,-0.34273332247905636,-0.58226301733188,-0.097790795707548,-0.3881618579228716,109.0,0.00993151031434536,30,-0.5311827956989247,0.05958906188607216,False,True,False
LSTM,SimpleRNN,-0.16521027091175614,-0.3470243862895955,0.028272768888208455,-0.2534094389640926,137.0,0.049710121005773544,30,-0.410752688172043,0.24855060502886772,False,False,False
